Monetary,Frequency,Recency,monetary_score,frequency_score,recency_score,rfm_score,cust_no
50024.17,2.0,206,2,3,1,6,0xb2d283b6
420114.56,7.0,0,4,4,4,12,0xb2d62fab
67007.14,2.0,6,3,3,3,9,0xb2d69cdb
610.81,1.0,0,1,2,4,7,0xb2d942e8
4781.4,1.0,9,2,2,3,7,0xb2d9156f
164.95,1.0,63,1,2,2,5,0xb2d50930
96718.8,1.0,6,3,2,3,8,0xb2d6c8b9
926237.19,5.0,47,4,4,2,10,0xb2d1fa70
40101.52,2.0,188,2,3,1,6,0xb2d6495c
213226.5,5.0,0,3,4,4,11,0x3b9b184d
5406.65,1.0,15,2,2,3,7,0xb2d6b17a
8648.34,1.0,15,2,2,3,7,0xb2d8c84c
5.29,1.0,0,1,2,4,7,0xb2d423f0
6496.69,1.0,0,2,2,4,8,0xb2d32a4f
3261.09,1.0,14,2,2,3,7,0xb2d3198c
170224.72,5.0,3,3,4,4,11,0xb2d22bde
320010.35,4.0,101,4,4,1,9,0xb2d7bdca
70000.95,3.0,82,3,4,1,8,0xb2d933f7
10988.86,1.0,0,2,2,4,8,0xb2d6b9bc
16376.77,1.0,92,2,2,1,5,0xb2d33a9c
500783.77,4.0,3,4,4,4,12,0xb2d6db1f
258085.98,2.0,199,3,3,1,7,0xb2d1a5b2
10042.28,1.0,184,2,2,1,5,0xb2d3eb30
250000.0,2.0,27,3,3,2,8,0xb2d94475
60016.19,2.0,140,3,3,1,7,0xb2d48ba2
958520.51,20.0,25,4,4,2,10,0xb2d1d70d
833956.43,4.0,5,4,4,3,11,0xb2d1aed7
130000.0,9.0,5,3,4,3,10,0xb2d22815
500065.58,2.0,228,4,3,1,8,0xb2d1f44f
14.94,1.0,42,1,2,2,5,0xb2d16237
3350016.63,7.0,18,4,4,2,10,0xb2d1c0af
14744.06,1.0,9,2,2,3,7,0xb2d32cbb
1161.42,1.0,93,1,2,1,4,0xb2d37ccc
925.31,1.0,4,1,2,4,7,0xb2d1df8c
307668.72,3.0,47,4,4,2,10,0xb2d231ea
50576.06,2.0,165,2,3,1,6,0xb2d0ffa3
1112059.62,7.0,21,4,4,2,10,0xb2d5b112
2176.59,1.0,3,1,2,4,7,0xb2d0bb38
193.26,1.0,167,1,2,1,4,0xb2d6a93e
450021.67,7.0,7,4,4,3,11,0xb2d3251f
3010.58,1.0,10,2,2,3,7,0xb2d4ddaa
101021.07,2.0,73,3,3,1,7,0xb2d1172c
650085.12,3.0,35,4,4,2,10,0xb2d2d537
113223.2,2.0,0,3,3,4,10,0xb2d4cb9f
1587.64,1.0,100,1,2,1,4,0xb2d40ec8
100078.24,3.0,11,3,4,3,10,0xb2d17791
56.84,1.0,45,1,2,2,5,0xb2d6df27
526297.78,6.0,13,4,4,3,11,0xb2d10bc8
